created virtual environment CPython3.6.10.final.0-64 in 481ms
  creator CPython3Posix(dest=/localscratch/orfanos.26526556.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/orfanos/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pip-21.2.3+computecanada-py3-none-any.whl
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-21.2.3+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/torch-1.6.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/bayesian_optimization-1.2.0-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-1.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/future-0.18.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/gym-0.18.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/box2d_py-2.3.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/joblib-1.0.1+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pandas-1.0.3+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/Pillow-7.2.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyglet-1.5.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scikit_learn-0.24.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scipy-1.4.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/threadpoolctl-2.1.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/matplotlib-3.3.4+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.19.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-2.4.7+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.10.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/kiwisolver-1.3.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Installing collected packages: numpy, threadpoolctl, six, scipy, joblib, future, scikit-learn, pytz, python-dateutil, pyparsing, pyglet, Pillow, kiwisolver, cycler, cloudpickle, torch, pandas, matplotlib, gym, Box2d-py, bayesian-optimization
Successfully installed Box2d-py-2.3.5+computecanada Pillow-7.2.0+computecanada bayesian-optimization-1.2.0 cloudpickle-1.6.0+computecanada cycler-0.10.0+computecanada future-0.18.2+computecanada gym-0.18.0+computecanada joblib-1.0.1+computecanada kiwisolver-1.3.1+computecanada matplotlib-3.3.4+computecanada numpy-1.19.5+computecanada pandas-1.0.3+computecanada pyglet-1.5.0+computecanada pyparsing-2.4.7+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada scikit-learn-0.24.1+computecanada scipy-1.4.1+computecanada six-1.16.0+computecanada threadpoolctl-2.1.0+computecanada torch-1.6.0+computecanada
hello
1
1
State shape:  (8,)
Number of actions:  4

Episode 1	Average Score: -77.09 	steps: 65.00
Episode 2	Average Score: -211.27 	steps: 165.00
Episode 3	Average Score: -186.18 	steps: 249.00
Episode 4	Average Score: -160.87 	steps: 324.00
Episode 5	Average Score: -213.65 	steps: 424.00
Episode 6	Average Score: -199.38 	steps: 545.00
Episode 7	Average Score: -188.00 	steps: 642.00
Episode 8	Average Score: -181.76 	steps: 756.00
Episode 9	Average Score: -169.52 	steps: 820.00
Episode 10	Average Score: -164.27 	steps: 910.00
Episode 11	Average Score: -171.05 	steps: 996.00
Episode 12	Average Score: -168.88 	steps: 1107.00
Episode 13	Average Score: -164.51 	steps: 1176.00
Episode 14	Average Score: -163.33 	steps: 1244.00
Episode 15	Average Score: -155.31 	steps: 1307.00
Episode 16	Average Score: -166.10 	steps: 1411.00
Episode 17	Average Score: -172.03 	steps: 1536.00
Episode 18	Average Score: -165.93 	steps: 1658.00
Episode 19	Average Score: -162.27 	steps: 1771.00
Episode 20	Average Score: -153.32 	steps: 1877.00
Episode 21	Average Score: -155.10 	steps: 1979.00
Episode 22	Average Score: -158.68 	steps: 2096.00
Episode 23	Average Score: -160.57 	steps: 2200.00
Episode 24	Average Score: -158.48 	steps: 2267.00
Episode 25	Average Score: -154.86 	steps: 2371.00
Episode 26	Average Score: -160.12 	steps: 2476.00
Episode 27	Average Score: -168.56 	steps: 2592.00
Episode 28	Average Score: -167.50 	steps: 2701.00
Episode 29	Average Score: -166.16 	steps: 2806.00
Episode 30	Average Score: -168.32 	steps: 2902.00
Episode 31	Average Score: -166.36 	steps: 3013.00
Episode 32	Average Score: -164.53 	steps: 3100.00
Episode 33	Average Score: -168.04 	steps: 3209.00
Episode 34	Average Score: -166.65 	steps: 3340.00
Episode 35	Average Score: -167.71 	steps: 3417.00
Episode 36	Average Score: -168.16 	steps: 3563.00
Episode 37	Average Score: -171.53 	steps: 3659.00
Episode 38	Average Score: -172.29 	steps: 3792.00
Episode 39	Average Score: -172.19 	steps: 3917.00
Episode 40	Average Score: -169.87 	steps: 4046.00
Episode 41	Average Score: -171.16 	steps: 4160.00
Episode 42	Average Score: -171.66 	steps: 4294.00
Episode 43	Average Score: -172.55 	steps: 4379.00
Episode 44	Average Score: -175.39 	steps: 4482.00
Episode 45	Average Score: -171.94 	steps: 4601.00
Episode 46	Average Score: -171.02 	steps: 4680.00
Episode 47	Average Score: -169.56 	steps: 4762.00
Episode 48	Average Score: -169.89 	steps: 4876.00
Episode 49	Average Score: -168.79 	steps: 4950.00
Episode 50	Average Score: -170.04 	steps: 5040.00
Episode 51	Average Score: -167.39 	steps: 5118.00
Episode 52	Average Score: -167.13 	steps: 5247.00
Episode 53	Average Score: -167.47 	steps: 5340.00
Episode 54	Average Score: -165.49 	steps: 5491.00
Episode 55	Average Score: -164.15 	steps: 5604.00
Episode 56	Average Score: -163.05 	steps: 5778.00
Episode 57	Average Score: -159.41 	steps: 5887.00
Episode 58	Average Score: -161.62 	steps: 5987.00
Episode 59	Average Score: -160.84 	steps: 6086.00
Episode 60	Average Score: -161.61 	steps: 6237.00
Episode 61	Average Score: -160.21 	steps: 6339.00
Episode 62	Average Score: -158.99 	steps: 6502.00
Episode 63	Average Score: -158.98 	steps: 6587.00
Episode 64	Average Score: -158.27 	steps: 6691.00
Episode 65	Average Score: -157.52 	steps: 6768.00
Episode 66	Average Score: -158.86 	steps: 6861.00
Episode 67	Average Score: -160.41 	steps: 6998.00
Episode 68	Average Score: -160.77 	steps: 7115.00
Episode 69	Average Score: -159.32 	steps: 7220.00
Episode 70	Average Score: -159.98 	steps: 7424.00
Episode 71	Average Score: -162.36 	steps: 7603.00
Episode 72	Average Score: -160.67 	steps: 7714.00
Episode 73	Average Score: -160.78 	steps: 7894.00
Episode 74	Average Score: -161.17 	steps: 7967.00
Episode 75	Average Score: -160.45 	steps: 8051.00
Episode 76	Average Score: -161.99 	steps: 8211.00
Episode 77	Average Score: -163.03 	steps: 8330.00
Episode 78	Average Score: -161.73 	steps: 8451.00
Episode 79	Average Score: -161.99 	steps: 8525.00
Episode 80	Average Score: -161.48 	steps: 8654.00
Episode 81	Average Score: -161.84 	steps: 8797.00
Episode 82	Average Score: -164.16 	steps: 9002.00
Episode 83	Average Score: -163.20 	steps: 9121.00
Episode 84	Average Score: -163.31 	steps: 9199.00
Episode 85	Average Score: -162.78 	steps: 9279.00
Episode 86	Average Score: -161.77 	steps: 9464.00
Episode 87	Average Score: -160.58 	steps: 9672.00
Episode 88	Average Score: -160.08 	steps: 9798.00
Episode 89	Average Score: -159.84 	steps: 9884.00
Episode 90	Average Score: -159.84 	steps: 9994.00
Episode 91	Average Score: -160.21 	steps: 10227.00
Episode 92	Average Score: -160.03 	steps: 10415.00
Episode 93	Average Score: -159.91 	steps: 10568.00
Episode 94	Average Score: -158.49 	steps: 10651.00
Episode 95	Average Score: -157.87 	steps: 10768.00
Episode 96	Average Score: -157.42 	steps: 10898.00
Episode 97	Average Score: -158.21 	steps: 11072.00
Episode 98	Average Score: -158.29 	steps: 11211.00
Episode 99	Average Score: -158.43 	steps: 11357.00
Episode 100	Average Score: -159.94 	steps: 11476.00
Episode 100	Average Score: -159.94 	steps: 11476.00

Episode 101	Average Score: -160.48 	steps: 11666.00
Episode 102	Average Score: -158.92 	steps: 11821.00
Episode 103	Average Score: -159.52 	steps: 11950.00
Episode 104	Average Score: -160.59 	steps: 12103.00
Episode 105	Average Score: -156.88 	steps: 12196.00
Episode 106	Average Score: -158.04 	steps: 12313.00
Episode 107	Average Score: -158.79 	steps: 12451.00
Episode 108	Average Score: -159.09 	steps: 12600.00
Episode 109	Average Score: -160.04 	steps: 12714.00
Episode 110	Average Score: -160.98 	steps: 12843.00
Episode 111	Average Score: -160.10 	steps: 12939.00
Episode 112	Average Score: -159.10 	steps: 13165.00
Episode 113	Average Score: -159.01 	steps: 13292.00
Episode 114	Average Score: -158.78 	steps: 13469.00
Episode 115	Average Score: -159.66 	steps: 13631.00
Episode 116	Average Score: -157.17 	steps: 13759.00
Episode 117	Average Score: -155.59 	steps: 14321.00
Episode 118	Average Score: -155.87 	steps: 14439.00
Episode 119	Average Score: -156.00 	steps: 14599.00
Episode 120	Average Score: -156.79 	steps: 14685.00
Episode 121	Average Score: -156.12 	steps: 14843.00
Episode 122	Average Score: -154.70 	steps: 14974.00
Episode 123	Average Score: -153.89 	steps: 15169.00
Episode 124	Average Score: -154.78 	steps: 15417.00
Episode 125	Average Score: -155.04 	steps: 15601.00
Episode 126	Average Score: -153.06 	steps: 15815.00
Episode 127	Average Score: -150.00 	steps: 15958.00
Episode 128	Average Score: -150.14 	steps: 16145.00
Episode 129	Average Score: -150.13 	steps: 16293.00
Episode 130	Average Score: -148.12 	steps: 16495.00
Episode 131	Average Score: -147.33 	steps: 16636.00
Episode 132	Average Score: -147.61 	steps: 16775.00
Episode 133	Average Score: -145.15 	steps: 16926.00
Episode 134	Average Score: -146.35 	steps: 17200.00
Episode 135	Average Score: -146.82 	steps: 17377.00
Episode 136	Average Score: -145.53 	steps: 17538.00
Episode 137	Average Score: -147.76 	steps: 17709.00
Episode 138	Average Score: -146.92 	steps: 17968.00
Episode 139	Average Score: -148.10 	steps: 18236.00
Episode 140	Average Score: -148.99 	steps: 18434.00
Episode 141	Average Score: -147.57 	steps: 18756.00
Episode 142	Average Score: -147.30 	steps: 18867.00
Episode 143	Average Score: -146.90 	steps: 19141.00
Episode 144	Average Score: -145.05 	steps: 19394.00
Episode 145	Average Score: -145.37 	steps: 20394.00
Episode 146	Average Score: -146.17 	steps: 20592.00
Episode 147	Average Score: -145.77 	steps: 20753.00
Episode 148	Average Score: -145.15 	steps: 20912.00
Episode 149	Average Score: -146.38 	steps: 21172.00
Episode 150	Average Score: -145.92 	steps: 21300.00
Episode 151	Average Score: -147.09 	steps: 21479.00
Episode 152	Average Score: -146.94 	steps: 21883.00
Episode 153	Average Score: -146.23 	steps: 22050.00
Episode 154	Average Score: -147.00 	steps: 22200.00
Episode 155	Average Score: -148.80 	steps: 22371.00
Episode 156	Average Score: -148.66 	steps: 22655.00
Episode 157	Average Score: -150.05 	steps: 22828.00
Episode 158	Average Score: -148.03 	steps: 23014.00
Episode 159	Average Score: -148.15 	steps: 23194.00
Episode 160	Average Score: -147.59 	steps: 23496.00
Episode 161	Average Score: -147.34 	steps: 23734.00
Episode 162	Average Score: -147.21 	steps: 24292.00
Episode 163	Average Score: -147.53 	steps: 24566.00
Episode 164	Average Score: -147.20 	steps: 24950.00
Episode 165	Average Score: -148.09 	steps: 25122.00
Episode 166	Average Score: -146.09 	steps: 25517.00
Episode 167	Average Score: -144.55 	steps: 25644.00
Episode 168	Average Score: -142.73 	steps: 25900.00
Episode 169	Average Score: -143.01 	steps: 26007.00
Episode 170	Average Score: -142.14 	steps: 26247.00
Episode 171	Average Score: -139.25 	steps: 26607.00
Episode 172	Average Score: -139.50 	steps: 26816.00
Episode 173	Average Score: -138.24 	steps: 26981.00
Episode 174	Average Score: -136.54 	steps: 27135.00
Episode 175	Average Score: -136.71 	steps: 27318.00
Episode 176	Average Score: -134.46 	steps: 27479.00
Episode 177	Average Score: -132.26 	steps: 27780.00
Episode 178	Average Score: -132.08 	steps: 28780.00
Episode 179	Average Score: -133.52 	steps: 28968.00
Episode 180	Average Score: -134.17 	steps: 29189.00
Episode 181	Average Score: -132.83 	steps: 29282.00
Episode 182	Average Score: -129.47 	steps: 29466.00
Episode 183	Average Score: -128.15 	steps: 30466.00
Episode 184	Average Score: -126.53 	steps: 30719.00
Episode 185	Average Score: -126.48 	steps: 30956.00
Episode 186	Average Score: -128.12 	steps: 31421.00
Episode 187	Average Score: -127.84 	steps: 31631.00
