created virtual environment CPython3.6.10.final.0-64 in 20401ms
  creator CPython3Posix(dest=/localscratch/orfanos.26527435.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/orfanos/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pip-21.2.3+computecanada-py3-none-any.whl
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-21.2.3+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/torch-1.6.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/bayesian_optimization-1.2.0-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-1.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/future-0.18.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/gym-0.18.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/box2d_py-2.3.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/joblib-1.0.1+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pandas-1.0.3+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/Pillow-7.2.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyglet-1.5.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scikit_learn-0.24.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scipy-1.4.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/threadpoolctl-2.1.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/matplotlib-3.3.4+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.19.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-2.4.7+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.10.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/kiwisolver-1.3.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Installing collected packages: numpy, threadpoolctl, six, scipy, joblib, future, scikit-learn, pytz, python-dateutil, pyparsing, pyglet, Pillow, kiwisolver, cycler, cloudpickle, torch, pandas, matplotlib, gym, Box2d-py, bayesian-optimization
Successfully installed Box2d-py-2.3.5+computecanada Pillow-7.2.0+computecanada bayesian-optimization-1.2.0 cloudpickle-1.6.0+computecanada cycler-0.10.0+computecanada future-0.18.2+computecanada gym-0.18.0+computecanada joblib-1.0.1+computecanada kiwisolver-1.3.1+computecanada matplotlib-3.3.4+computecanada numpy-1.19.5+computecanada pandas-1.0.3+computecanada pyglet-1.5.0+computecanada pyparsing-2.4.7+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada scikit-learn-0.24.1+computecanada scipy-1.4.1+computecanada six-1.16.0+computecanada threadpoolctl-2.1.0+computecanada torch-1.6.0+computecanada
hello
6
6
State shape:  (8,)
Number of actions:  4

Episode 1	Average Score: -166.49 	steps: 93.00
Episode 2	Average Score: -156.24 	steps: 167.00
Episode 3	Average Score: -144.00 	steps: 293.00
Episode 4	Average Score: -194.92 	steps: 398.00
Episode 5	Average Score: -236.18 	steps: 488.00
Episode 6	Average Score: -224.65 	steps: 594.00
Episode 7	Average Score: -204.74 	steps: 669.00
Episode 8	Average Score: -215.77 	steps: 789.00
Episode 9	Average Score: -202.99 	steps: 896.00
Episode 10	Average Score: -199.82 	steps: 993.00
Episode 11	Average Score: -190.58 	steps: 1068.00
Episode 12	Average Score: -188.32 	steps: 1180.00
Episode 13	Average Score: -174.50 	steps: 1322.00
Episode 14	Average Score: -185.27 	steps: 1418.00
Episode 15	Average Score: -181.67 	steps: 1502.00
Episode 16	Average Score: -178.45 	steps: 1590.00
Episode 17	Average Score: -184.68 	steps: 1669.00
Episode 18	Average Score: -178.16 	steps: 1761.00
Episode 19	Average Score: -186.01 	steps: 1839.00
Episode 20	Average Score: -184.54 	steps: 1948.00
Episode 21	Average Score: -179.90 	steps: 2044.00
Episode 22	Average Score: -170.37 	steps: 2163.00
Episode 23	Average Score: -165.60 	steps: 2243.00
Episode 24	Average Score: -171.53 	steps: 2349.00
Episode 25	Average Score: -175.67 	steps: 2435.00
Episode 26	Average Score: -180.83 	steps: 2540.00
Episode 27	Average Score: -180.79 	steps: 2613.00
Episode 28	Average Score: -182.77 	steps: 2727.00
Episode 29	Average Score: -183.74 	steps: 2880.00
Episode 30	Average Score: -182.49 	steps: 2958.00
Episode 31	Average Score: -189.44 	steps: 3081.00
Episode 32	Average Score: -185.95 	steps: 3223.00
Episode 33	Average Score: -182.38 	steps: 3289.00
Episode 34	Average Score: -179.53 	steps: 3384.00
Episode 35	Average Score: -179.49 	steps: 3514.00
Episode 36	Average Score: -177.31 	steps: 3605.00
Episode 37	Average Score: -175.56 	steps: 3673.00
Episode 38	Average Score: -179.64 	steps: 3761.00
Episode 39	Average Score: -183.51 	steps: 3858.00
Episode 40	Average Score: -185.35 	steps: 4019.00
Episode 41	Average Score: -179.42 	steps: 5019.00
Episode 42	Average Score: -177.29 	steps: 5112.00
Episode 43	Average Score: -174.08 	steps: 5198.00
Episode 44	Average Score: -174.54 	steps: 5262.00
Episode 45	Average Score: -175.81 	steps: 5385.00
Episode 46	Average Score: -178.65 	steps: 5509.00
Episode 47	Average Score: -181.40 	steps: 5606.00
Episode 48	Average Score: -179.60 	steps: 5698.00
Episode 49	Average Score: -182.24 	steps: 5824.00
Episode 50	Average Score: -184.03 	steps: 5972.00
Episode 51	Average Score: -186.27 	steps: 6083.00
Episode 52	Average Score: -185.07 	steps: 6245.00
Episode 53	Average Score: -187.75 	steps: 6369.00
Episode 54	Average Score: -186.31 	steps: 6452.00
Episode 55	Average Score: -187.46 	steps: 6596.00
Episode 56	Average Score: -185.82 	steps: 6698.00
Episode 57	Average Score: -189.60 	steps: 6827.00
Episode 58	Average Score: -188.53 	steps: 6932.00
Episode 59	Average Score: -187.84 	steps: 7066.00
Episode 60	Average Score: -187.58 	steps: 7166.00
Episode 61	Average Score: -187.63 	steps: 7289.00
Episode 62	Average Score: -190.19 	steps: 7410.00
Episode 63	Average Score: -190.57 	steps: 7529.00
Episode 64	Average Score: -190.11 	steps: 7686.00
Episode 65	Average Score: -188.52 	steps: 7802.00
Episode 66	Average Score: -191.90 	steps: 7967.00
Episode 67	Average Score: -190.58 	steps: 8055.00
Episode 68	Average Score: -188.56 	steps: 8191.00
Episode 69	Average Score: -188.35 	steps: 8302.00
Episode 70	Average Score: -186.55 	steps: 8482.00
Episode 71	Average Score: -185.44 	steps: 8612.00
Episode 72	Average Score: -182.68 	steps: 8717.00
Episode 73	Average Score: -182.08 	steps: 8938.00
Episode 74	Average Score: -180.04 	steps: 9028.00
Episode 75	Average Score: -179.06 	steps: 9130.00
Episode 76	Average Score: -179.12 	steps: 9332.00
Episode 77	Average Score: -178.56 	steps: 9433.00
Episode 78	Average Score: -178.55 	steps: 9559.00
Episode 79	Average Score: -177.42 	steps: 9667.00
Episode 80	Average Score: -175.09 	steps: 9799.00
Episode 81	Average Score: -174.47 	steps: 9913.00
Episode 82	Average Score: -174.92 	steps: 10065.00
Episode 83	Average Score: -173.90 	steps: 10253.00
Episode 84	Average Score: -172.90 	steps: 10325.00
Episode 85	Average Score: -172.65 	steps: 10483.00
Episode 86	Average Score: -173.30 	steps: 10614.00
Episode 87	Average Score: -171.91 	steps: 10727.00
Episode 88	Average Score: -171.23 	steps: 10854.00
Episode 89	Average Score: -170.60 	steps: 11008.00
Episode 90	Average Score: -169.11 	steps: 11106.00
Episode 91	Average Score: -169.13 	steps: 11182.00
Episode 92	Average Score: -169.90 	steps: 11418.00
Episode 93	Average Score: -168.31 	steps: 11503.00
Episode 94	Average Score: -168.37 	steps: 11629.00
Episode 95	Average Score: -167.82 	steps: 11759.00
Episode 96	Average Score: -169.13 	steps: 11954.00
Episode 97	Average Score: -167.91 	steps: 12060.00
Episode 98	Average Score: -167.90 	steps: 12342.00
Episode 99	Average Score: -167.94 	steps: 12575.00
Episode 100	Average Score: -166.89 	steps: 12701.00
Episode 100	Average Score: -166.89 	steps: 12701.00

Episode 101	Average Score: -166.89 	steps: 12839.00
Episode 102	Average Score: -166.51 	steps: 12937.00
Episode 103	Average Score: -165.97 	steps: 13063.00
Episode 104	Average Score: -163.28 	steps: 13257.00
Episode 105	Average Score: -160.36 	steps: 13388.00
Episode 106	Average Score: -159.70 	steps: 13462.00
Episode 107	Average Score: -159.40 	steps: 13621.00
Episode 108	Average Score: -157.41 	steps: 13804.00
Episode 109	Average Score: -157.18 	steps: 13961.00
Episode 110	Average Score: -158.13 	steps: 14098.00
Episode 111	Average Score: -157.67 	steps: 14263.00
Episode 112	Average Score: -158.03 	steps: 14563.00
Episode 113	Average Score: -158.24 	steps: 14671.00
Episode 114	Average Score: -156.94 	steps: 14795.00
Episode 115	Average Score: -157.69 	steps: 15075.00
Episode 116	Average Score: -156.69 	steps: 15217.00
Episode 117	Average Score: -155.35 	steps: 15395.00
Episode 118	Average Score: -155.16 	steps: 15525.00
Episode 119	Average Score: -152.66 	steps: 15683.00
Episode 120	Average Score: -151.51 	steps: 15845.00
Episode 121	Average Score: -151.35 	steps: 16000.00
Episode 122	Average Score: -153.02 	steps: 16096.00
Episode 123	Average Score: -152.82 	steps: 16264.00
Episode 124	Average Score: -151.10 	steps: 16402.00
Episode 125	Average Score: -148.25 	steps: 16620.00
Episode 126	Average Score: -145.81 	steps: 16707.00
Episode 127	Average Score: -144.62 	steps: 16852.00
Episode 128	Average Score: -142.98 	steps: 17024.00
Episode 129	Average Score: -143.90 	steps: 17674.00
Episode 130	Average Score: -143.85 	steps: 17817.00
Episode 131	Average Score: -142.02 	steps: 18102.00
Episode 132	Average Score: -143.36 	steps: 18223.00
Episode 133	Average Score: -144.17 	steps: 18517.00
Episode 134	Average Score: -143.80 	steps: 18653.00
Episode 135	Average Score: -143.47 	steps: 18791.00
Episode 136	Average Score: -143.86 	steps: 19765.00
Episode 137	Average Score: -144.28 	steps: 19942.00
Episode 138	Average Score: -143.83 	steps: 20332.00
Episode 139	Average Score: -141.17 	steps: 20455.00
Episode 140	Average Score: -139.94 	steps: 20592.00
Episode 141	Average Score: -141.11 	steps: 20856.00
Episode 142	Average Score: -139.20 	steps: 21856.00
Episode 143	Average Score: -139.95 	steps: 21967.00
Episode 144	Average Score: -138.94 	steps: 22268.00
Episode 145	Average Score: -137.30 	steps: 22469.00
Episode 146	Average Score: -135.68 	steps: 22612.00
Episode 147	Average Score: -133.69 	steps: 22824.00
Episode 148	Average Score: -133.41 	steps: 23048.00
Episode 149	Average Score: -131.08 	steps: 23444.00
Episode 150	Average Score: -129.49 	steps: 23548.00
Episode 151	Average Score: -126.89 	steps: 23817.00
Episode 152	Average Score: -126.23 	steps: 23993.00
Episode 153	Average Score: -124.50 	steps: 24209.00
Episode 154	Average Score: -123.85 	steps: 24341.00
Episode 155	Average Score: -122.18 	steps: 24501.00
Episode 156	Average Score: -122.22 	steps: 24675.00
Episode 157	Average Score: -118.84 	steps: 24814.00
Episode 158	Average Score: -118.76 	steps: 24931.00
Episode 159	Average Score: -118.14 	steps: 25076.00
Episode 160	Average Score: -116.94 	steps: 25349.00
Episode 161	Average Score: -117.22 	steps: 25562.00
Episode 162	Average Score: -114.09 	steps: 25823.00
Episode 163	Average Score: -113.18 	steps: 26202.00
Episode 164	Average Score: -112.48 	steps: 26457.00
Episode 165	Average Score: -112.60 	steps: 26759.00
Episode 166	Average Score: -109.63 	steps: 27071.00
Episode 167	Average Score: -108.56 	steps: 27203.00
Episode 168	Average Score: -108.52 	steps: 27573.00
Episode 169	Average Score: -107.23 	steps: 27831.00
Episode 170	Average Score: -108.32 	steps: 28045.00
Episode 171	Average Score: -107.88 	steps: 28334.00
Episode 172	Average Score: -109.79 	steps: 28534.00
Episode 173	Average Score: -109.48 	steps: 28668.00
Episode 174	Average Score: -110.62 	steps: 28857.00
Episode 175	Average Score: -110.64 	steps: 29105.00
Episode 176	Average Score: -109.94 	steps: 29376.00
Episode 177	Average Score: -108.60 	steps: 29679.00
Episode 178	Average Score: -107.53 	steps: 29886.00
Episode 179	Average Score: -108.98 	steps: 30131.00
Episode 180	Average Score: -108.24 	steps: 31131.00
Episode 181	Average Score: -107.61 	steps: 31343.00
Episode 182	Average Score: -106.44 	steps: 31682.00
Episode 183	Average Score: -107.74 	steps: 31996.00
Episode 184	Average Score: -107.13 	steps: 32996.00
Episode 185	Average Score: -105.79 	steps: 33141.00
Episode 186	Average Score: -103.64 	steps: 33387.00
Episode 187	Average Score: -104.19 	steps: 33606.00
