created virtual environment CPython3.6.10.final.0-64 in 17824ms
  creator CPython3Posix(dest=/localscratch/orfanos.26527437.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/orfanos/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pip-21.2.3+computecanada-py3-none-any.whl
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-21.2.3+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/torch-1.6.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/bayesian_optimization-1.2.0-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-1.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/future-0.18.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/gym-0.18.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/box2d_py-2.3.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/joblib-1.0.1+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pandas-1.0.3+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/Pillow-7.2.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyglet-1.5.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scikit_learn-0.24.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scipy-1.4.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/threadpoolctl-2.1.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/matplotlib-3.3.4+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.19.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/kiwisolver-1.3.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.10.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-2.4.7+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Installing collected packages: numpy, threadpoolctl, six, scipy, joblib, future, scikit-learn, pytz, python-dateutil, pyparsing, pyglet, Pillow, kiwisolver, cycler, cloudpickle, torch, pandas, matplotlib, gym, Box2d-py, bayesian-optimization
Successfully installed Box2d-py-2.3.5+computecanada Pillow-7.2.0+computecanada bayesian-optimization-1.2.0 cloudpickle-1.6.0+computecanada cycler-0.10.0+computecanada future-0.18.2+computecanada gym-0.18.0+computecanada joblib-1.0.1+computecanada kiwisolver-1.3.1+computecanada matplotlib-3.3.4+computecanada numpy-1.19.5+computecanada pandas-1.0.3+computecanada pyglet-1.5.0+computecanada pyparsing-2.4.7+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada scikit-learn-0.24.1+computecanada scipy-1.4.1+computecanada six-1.16.0+computecanada threadpoolctl-2.1.0+computecanada torch-1.6.0+computecanada
hello
8
8
State shape:  (8,)
Number of actions:  4

Episode 1	Average Score: -132.15 	steps: 62.00
Episode 2	Average Score: -188.81 	steps: 165.00
Episode 3	Average Score: -186.26 	steps: 243.00
Episode 4	Average Score: -247.30 	steps: 343.00
Episode 5	Average Score: -230.37 	steps: 405.00
Episode 6	Average Score: -248.52 	steps: 488.00
Episode 7	Average Score: -252.82 	steps: 577.00
Episode 8	Average Score: -237.63 	steps: 668.00
Episode 9	Average Score: -238.83 	steps: 737.00
Episode 10	Average Score: -224.74 	steps: 806.00
Episode 11	Average Score: -213.31 	steps: 906.00
Episode 12	Average Score: -206.27 	steps: 1015.00
Episode 13	Average Score: -204.70 	steps: 1093.00
Episode 14	Average Score: -196.88 	steps: 1175.00
Episode 15	Average Score: -210.37 	steps: 1257.00
Episode 16	Average Score: -208.91 	steps: 1384.00
Episode 17	Average Score: -212.45 	steps: 1525.00
Episode 18	Average Score: -204.65 	steps: 1595.00
Episode 19	Average Score: -200.61 	steps: 1710.00
Episode 20	Average Score: -197.57 	steps: 1776.00
Episode 21	Average Score: -201.04 	steps: 1921.00
Episode 22	Average Score: -205.68 	steps: 2023.00
Episode 23	Average Score: -211.53 	steps: 2129.00
Episode 24	Average Score: -212.30 	steps: 2238.00
Episode 25	Average Score: -207.40 	steps: 2322.00
Episode 26	Average Score: -204.01 	steps: 2392.00
Episode 27	Average Score: -211.18 	steps: 2500.00
Episode 28	Average Score: -215.69 	steps: 2647.00
Episode 29	Average Score: -213.03 	steps: 2789.00
Episode 30	Average Score: -212.83 	steps: 2866.00
Episode 31	Average Score: -212.06 	steps: 2991.00
Episode 32	Average Score: -208.84 	steps: 3085.00
Episode 33	Average Score: -211.85 	steps: 3178.00
Episode 34	Average Score: -208.49 	steps: 3245.00
Episode 35	Average Score: -210.34 	steps: 3350.00
Episode 36	Average Score: -210.66 	steps: 3456.00
Episode 37	Average Score: -215.32 	steps: 3547.00
Episode 38	Average Score: -217.04 	steps: 3647.00
Episode 39	Average Score: -214.41 	steps: 3738.00
Episode 40	Average Score: -212.92 	steps: 3847.00
Episode 41	Average Score: -217.63 	steps: 3948.00
Episode 42	Average Score: -214.18 	steps: 4058.00
Episode 43	Average Score: -212.41 	steps: 4144.00
Episode 44	Average Score: -211.29 	steps: 4225.00
Episode 45	Average Score: -207.58 	steps: 4340.00
Episode 46	Average Score: -204.88 	steps: 4488.00
Episode 47	Average Score: -210.55 	steps: 4594.00
Episode 48	Average Score: -215.70 	steps: 4679.00
Episode 49	Average Score: -215.43 	steps: 4759.00
Episode 50	Average Score: -217.41 	steps: 4849.00
Episode 51	Average Score: -224.56 	steps: 4971.00
Episode 52	Average Score: -230.63 	steps: 5061.00
Episode 53	Average Score: -232.58 	steps: 5240.00
Episode 54	Average Score: -235.90 	steps: 5368.00
Episode 55	Average Score: -236.53 	steps: 5482.00
Episode 56	Average Score: -236.92 	steps: 5602.00
Episode 57	Average Score: -233.39 	steps: 5704.00
Episode 58	Average Score: -234.18 	steps: 5834.00
Episode 59	Average Score: -234.07 	steps: 5956.00
Episode 60	Average Score: -232.84 	steps: 6035.00
Episode 61	Average Score: -234.04 	steps: 6164.00
Episode 62	Average Score: -234.48 	steps: 6242.00
Episode 63	Average Score: -233.42 	steps: 6363.00
Episode 64	Average Score: -232.52 	steps: 6466.00
Episode 65	Average Score: -232.44 	steps: 6579.00
Episode 66	Average Score: -230.05 	steps: 6739.00
Episode 67	Average Score: -233.08 	steps: 6874.00
Episode 68	Average Score: -229.94 	steps: 7007.00
Episode 69	Average Score: -228.92 	steps: 7143.00
Episode 70	Average Score: -227.11 	steps: 7241.00
Episode 71	Average Score: -224.60 	steps: 7386.00
Episode 72	Average Score: -226.30 	steps: 7525.00
Episode 73	Average Score: -225.80 	steps: 7616.00
Episode 74	Average Score: -225.20 	steps: 7720.00
Episode 75	Average Score: -227.89 	steps: 7824.00
Episode 76	Average Score: -228.01 	steps: 7941.00
Episode 77	Average Score: -229.17 	steps: 8024.00
Episode 78	Average Score: -227.20 	steps: 8186.00
Episode 79	Average Score: -227.52 	steps: 8307.00
Episode 80	Average Score: -228.64 	steps: 8419.00
Episode 81	Average Score: -228.46 	steps: 8515.00
Episode 82	Average Score: -231.67 	steps: 8650.00
Episode 83	Average Score: -230.25 	steps: 8760.00
Episode 84	Average Score: -230.72 	steps: 8980.00
Episode 85	Average Score: -229.71 	steps: 9108.00
Episode 86	Average Score: -231.52 	steps: 9250.00
Episode 87	Average Score: -232.10 	steps: 9396.00
Episode 88	Average Score: -233.51 	steps: 9517.00
Episode 89	Average Score: -232.02 	steps: 9611.00
Episode 90	Average Score: -233.82 	steps: 9715.00
Episode 91	Average Score: -233.56 	steps: 9806.00
Episode 92	Average Score: -232.02 	steps: 10006.00
Episode 93	Average Score: -232.67 	steps: 10159.00
Episode 94	Average Score: -235.18 	steps: 10357.00
Episode 95	Average Score: -236.11 	steps: 10719.00
Episode 96	Average Score: -235.03 	steps: 10976.00
Episode 97	Average Score: -233.68 	steps: 11107.00
Episode 98	Average Score: -233.84 	steps: 11205.00
Episode 99	Average Score: -232.75 	steps: 11330.00
Episode 100	Average Score: -233.13 	steps: 11485.00
Episode 100	Average Score: -233.13 	steps: 11485.00

Episode 101	Average Score: -233.53 	steps: 11576.00
Episode 102	Average Score: -232.32 	steps: 11769.00
Episode 103	Average Score: -232.20 	steps: 11842.00
Episode 104	Average Score: -230.29 	steps: 11941.00
Episode 105	Average Score: -229.40 	steps: 12053.00
Episode 106	Average Score: -227.62 	steps: 12221.00
Episode 107	Average Score: -225.85 	steps: 12294.00
Episode 108	Average Score: -227.79 	steps: 12435.00
Episode 109	Average Score: -227.97 	steps: 12581.00
Episode 110	Average Score: -229.00 	steps: 12778.00
Episode 111	Average Score: -230.55 	steps: 12983.00
Episode 112	Average Score: -230.08 	steps: 13155.00
Episode 113	Average Score: -228.84 	steps: 13303.00
Episode 114	Average Score: -230.37 	steps: 13632.00
Episode 115	Average Score: -227.75 	steps: 13751.00
Episode 116	Average Score: -227.25 	steps: 13872.00
Episode 117	Average Score: -226.54 	steps: 14003.00
Episode 118	Average Score: -228.37 	steps: 14129.00
Episode 119	Average Score: -228.68 	steps: 14256.00
Episode 120	Average Score: -228.16 	steps: 14429.00
Episode 121	Average Score: -226.24 	steps: 14666.00
Episode 122	Average Score: -225.48 	steps: 14796.00
Episode 123	Average Score: -224.10 	steps: 14970.00
Episode 124	Average Score: -224.41 	steps: 15310.00
Episode 125	Average Score: -224.48 	steps: 15484.00
Episode 126	Average Score: -225.13 	steps: 15619.00
Episode 127	Average Score: -222.77 	steps: 15787.00
Episode 128	Average Score: -221.61 	steps: 16015.00
Episode 129	Average Score: -221.20 	steps: 16158.00
Episode 130	Average Score: -222.58 	steps: 16494.00
Episode 131	Average Score: -221.36 	steps: 16609.00
Episode 132	Average Score: -222.13 	steps: 16696.00
Episode 133	Average Score: -219.22 	steps: 16842.00
Episode 134	Average Score: -219.49 	steps: 16946.00
Episode 135	Average Score: -219.28 	steps: 17225.00
Episode 136	Average Score: -218.09 	steps: 17477.00
Episode 137	Average Score: -216.30 	steps: 17623.00
Episode 138	Average Score: -214.56 	steps: 17970.00
Episode 139	Average Score: -215.14 	steps: 18129.00
Episode 140	Average Score: -216.61 	steps: 18536.00
Episode 141	Average Score: -215.87 	steps: 18777.00
Episode 142	Average Score: -217.65 	steps: 19150.00
Episode 143	Average Score: -217.37 	steps: 19420.00
Episode 144	Average Score: -217.18 	steps: 19707.00
Episode 145	Average Score: -217.36 	steps: 19814.00
Episode 146	Average Score: -217.75 	steps: 20073.00
Episode 147	Average Score: -213.82 	steps: 20235.00
Episode 148	Average Score: -210.22 	steps: 20349.00
Episode 149	Average Score: -208.72 	steps: 20494.00
Episode 150	Average Score: -208.98 	steps: 20875.00
Episode 151	Average Score: -203.86 	steps: 21875.00
Episode 152	Average Score: -200.01 	steps: 22262.00
Episode 153	Average Score: -197.50 	steps: 22398.00
Episode 154	Average Score: -195.46 	steps: 22604.00
Episode 155	Average Score: -194.58 	steps: 23254.00
Episode 156	Average Score: -193.44 	steps: 23582.00
Episode 157	Average Score: -195.18 	steps: 24458.00
Episode 158	Average Score: -193.74 	steps: 24724.00
Episode 159	Average Score: -192.71 	steps: 24997.00
Episode 160	Average Score: -192.42 	steps: 25333.00
Episode 161	Average Score: -190.80 	steps: 25603.00
Episode 162	Average Score: -188.71 	steps: 25811.00
Episode 163	Average Score: -189.56 	steps: 26340.00
Episode 164	Average Score: -189.36 	steps: 26524.00
Episode 165	Average Score: -188.08 	steps: 26965.00
Episode 166	Average Score: -188.08 	steps: 27193.00
Episode 167	Average Score: -184.80 	steps: 27338.00
Episode 168	Average Score: -185.90 	steps: 28042.00
Episode 169	Average Score: -185.85 	steps: 28635.00
Episode 170	Average Score: -186.97 	steps: 28843.00
Episode 171	Average Score: -186.38 	steps: 29843.00
Episode 172	Average Score: -183.30 	steps: 30179.00
Episode 173	Average Score: -181.32 	steps: 31179.00
Episode 174	Average Score: -180.95 	steps: 31465.00
Episode 175	Average Score: -177.16 	steps: 31659.00
Episode 176	Average Score: -175.27 	steps: 32659.00
Episode 177	Average Score: -173.08 	steps: 33125.00
Episode 178	Average Score: -172.30 	steps: 34125.00
Episode 179	Average Score: -169.86 	steps: 35125.00
Episode 180	Average Score: -168.18 	steps: 35359.00
Episode 181	Average Score: -166.22 	steps: 35582.00
Episode 182	Average Score: -160.97 	steps: 36582.00
Episode 183	Average Score: -160.75 	steps: 37582.00
Episode 184	Average Score: -157.36 	steps: 38582.00
Episode 185	Average Score: -156.50 	steps: 38802.00
Episode 186	Average Score: -155.09 	steps: 39224.00
Episode 187	Average Score: -151.83 	steps: 40224.00
