created virtual environment CPython3.6.10.final.0-64 in 2251ms
  creator CPython3Posix(dest=/localscratch/orfanos.26527440.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/orfanos/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pip-21.2.3+computecanada-py3-none-any.whl
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-21.2.3+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/torch-1.6.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/bayesian_optimization-1.2.0-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-1.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/future-0.18.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/gym-0.18.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/box2d_py-2.3.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/joblib-1.0.1+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pandas-1.0.3+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/Pillow-7.2.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyglet-1.5.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scikit_learn-0.24.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scipy-1.4.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/threadpoolctl-2.1.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/matplotlib-3.3.4+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.19.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-2.4.7+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/kiwisolver-1.3.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.10.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Installing collected packages: numpy, threadpoolctl, six, scipy, joblib, future, scikit-learn, pytz, python-dateutil, pyparsing, pyglet, Pillow, kiwisolver, cycler, cloudpickle, torch, pandas, matplotlib, gym, Box2d-py, bayesian-optimization
Successfully installed Box2d-py-2.3.5+computecanada Pillow-7.2.0+computecanada bayesian-optimization-1.2.0 cloudpickle-1.6.0+computecanada cycler-0.10.0+computecanada future-0.18.2+computecanada gym-0.18.0+computecanada joblib-1.0.1+computecanada kiwisolver-1.3.1+computecanada matplotlib-3.3.4+computecanada numpy-1.19.5+computecanada pandas-1.0.3+computecanada pyglet-1.5.0+computecanada pyparsing-2.4.7+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada scikit-learn-0.24.1+computecanada scipy-1.4.1+computecanada six-1.16.0+computecanada threadpoolctl-2.1.0+computecanada torch-1.6.0+computecanada
hello
11
11
State shape:  (8,)
Number of actions:  4

Episode 1	Average Score: -238.66 	steps: 99.00
Episode 2	Average Score: -196.50 	steps: 169.00
Episode 3	Average Score: -175.43 	steps: 241.00
Episode 4	Average Score: -232.28 	steps: 365.00
Episode 5	Average Score: -209.31 	steps: 464.00
Episode 6	Average Score: -194.37 	steps: 550.00
Episode 7	Average Score: -201.60 	steps: 672.00
Episode 8	Average Score: -188.94 	steps: 803.00
Episode 9	Average Score: -202.22 	steps: 899.00
Episode 10	Average Score: -195.74 	steps: 1012.00
Episode 11	Average Score: -198.22 	steps: 1121.00
Episode 12	Average Score: -195.99 	steps: 1190.00
Episode 13	Average Score: -204.13 	steps: 1292.00
Episode 14	Average Score: -212.87 	steps: 1385.00
Episode 15	Average Score: -206.11 	steps: 1476.00
Episode 16	Average Score: -200.64 	steps: 1619.00
Episode 17	Average Score: -205.13 	steps: 1720.00
Episode 18	Average Score: -197.41 	steps: 1783.00
Episode 19	Average Score: -200.89 	steps: 1872.00
Episode 20	Average Score: -195.33 	steps: 1937.00
Episode 21	Average Score: -198.75 	steps: 2043.00
Episode 22	Average Score: -200.68 	steps: 2171.00
Episode 23	Average Score: -198.66 	steps: 2242.00
Episode 24	Average Score: -198.05 	steps: 2351.00
Episode 25	Average Score: -195.50 	steps: 2440.00
Episode 26	Average Score: -204.77 	steps: 2549.00
Episode 27	Average Score: -211.67 	steps: 2638.00
Episode 28	Average Score: -211.59 	steps: 2744.00
Episode 29	Average Score: -209.85 	steps: 2865.00
Episode 30	Average Score: -209.91 	steps: 2982.00
Episode 31	Average Score: -204.52 	steps: 3049.00
Episode 32	Average Score: -202.73 	steps: 3174.00
Episode 33	Average Score: -206.04 	steps: 3287.00
Episode 34	Average Score: -202.77 	steps: 3403.00
Episode 35	Average Score: -205.98 	steps: 3540.00
Episode 36	Average Score: -203.44 	steps: 3645.00
Episode 37	Average Score: -200.05 	steps: 3720.00
Episode 38	Average Score: -206.73 	steps: 3841.00
Episode 39	Average Score: -210.32 	steps: 3922.00
Episode 40	Average Score: -211.95 	steps: 4076.00
Episode 41	Average Score: -208.64 	steps: 4197.00
Episode 42	Average Score: -209.82 	steps: 4291.00
Episode 43	Average Score: -208.61 	steps: 4402.00
Episode 44	Average Score: -206.47 	steps: 4505.00
Episode 45	Average Score: -208.84 	steps: 4591.00
Episode 46	Average Score: -205.74 	steps: 4682.00
Episode 47	Average Score: -208.97 	steps: 4800.00
Episode 48	Average Score: -208.14 	steps: 4908.00
Episode 49	Average Score: -208.12 	steps: 5013.00
Episode 50	Average Score: -205.51 	steps: 5124.00
Episode 51	Average Score: -204.64 	steps: 5223.00
Episode 52	Average Score: -205.27 	steps: 5356.00
Episode 53	Average Score: -202.71 	steps: 5420.00
Episode 54	Average Score: -201.61 	steps: 5519.00
Episode 55	Average Score: -199.11 	steps: 5664.00
Episode 56	Average Score: -203.28 	steps: 5784.00
Episode 57	Average Score: -201.68 	steps: 5881.00
Episode 58	Average Score: -202.83 	steps: 5981.00
Episode 59	Average Score: -200.21 	steps: 6124.00
Episode 60	Average Score: -197.83 	steps: 6217.00
Episode 61	Average Score: -200.35 	steps: 6317.00
Episode 62	Average Score: -202.22 	steps: 6399.00
Episode 63	Average Score: -202.15 	steps: 6493.00
Episode 64	Average Score: -200.04 	steps: 6595.00
Episode 65	Average Score: -202.49 	steps: 6742.00
Episode 66	Average Score: -201.11 	steps: 6848.00
Episode 67	Average Score: -201.94 	steps: 6948.00
Episode 68	Average Score: -200.76 	steps: 7083.00
Episode 69	Average Score: -198.73 	steps: 7226.00
Episode 70	Average Score: -196.85 	steps: 7344.00
Episode 71	Average Score: -197.37 	steps: 7455.00
Episode 72	Average Score: -199.55 	steps: 7608.00
Episode 73	Average Score: -199.70 	steps: 7699.00
Episode 74	Average Score: -200.18 	steps: 7826.00
Episode 75	Average Score: -199.34 	steps: 7940.00
Episode 76	Average Score: -199.87 	steps: 8114.00
Episode 77	Average Score: -200.58 	steps: 8213.00
Episode 78	Average Score: -201.25 	steps: 8318.00
Episode 79	Average Score: -199.40 	steps: 8432.00
Episode 80	Average Score: -198.08 	steps: 8529.00
Episode 81	Average Score: -195.94 	steps: 8682.00
Episode 82	Average Score: -193.87 	steps: 8755.00
Episode 83	Average Score: -194.20 	steps: 8877.00
Episode 84	Average Score: -192.49 	steps: 9036.00
Episode 85	Average Score: -193.04 	steps: 9168.00
Episode 86	Average Score: -193.94 	steps: 9281.00
Episode 87	Average Score: -194.09 	steps: 9446.00
Episode 88	Average Score: -192.10 	steps: 9598.00
Episode 89	Average Score: -191.24 	steps: 9771.00
Episode 90	Average Score: -191.17 	steps: 9970.00
Episode 91	Average Score: -191.26 	steps: 10099.00
Episode 92	Average Score: -192.39 	steps: 10199.00
Episode 93	Average Score: -192.55 	steps: 10321.00
Episode 94	Average Score: -193.91 	steps: 10425.00
Episode 95	Average Score: -194.21 	steps: 10511.00
Episode 96	Average Score: -193.58 	steps: 10591.00
Episode 97	Average Score: -193.94 	steps: 10790.00
Episode 98	Average Score: -194.87 	steps: 10922.00
Episode 99	Average Score: -192.97 	steps: 11095.00
Episode 100	Average Score: -194.01 	steps: 11262.00
Episode 100	Average Score: -194.01 	steps: 11262.00

Episode 101	Average Score: -191.95 	steps: 11347.00
Episode 102	Average Score: -191.90 	steps: 11514.00
Episode 103	Average Score: -191.68 	steps: 11643.00
Episode 104	Average Score: -190.17 	steps: 11838.00
Episode 105	Average Score: -190.54 	steps: 11927.00
Episode 106	Average Score: -192.40 	steps: 12041.00
Episode 107	Average Score: -190.15 	steps: 12204.00
Episode 108	Average Score: -189.28 	steps: 12388.00
Episode 109	Average Score: -186.17 	steps: 12504.00
Episode 110	Average Score: -185.59 	steps: 12591.00
Episode 111	Average Score: -184.70 	steps: 12753.00
Episode 112	Average Score: -184.17 	steps: 12892.00
Episode 113	Average Score: -181.71 	steps: 13166.00
Episode 114	Average Score: -180.42 	steps: 13492.00
Episode 115	Average Score: -180.25 	steps: 13585.00
Episode 116	Average Score: -180.26 	steps: 13885.00
Episode 117	Average Score: -179.32 	steps: 14024.00
Episode 118	Average Score: -179.55 	steps: 14143.00
Episode 119	Average Score: -178.69 	steps: 14358.00
Episode 120	Average Score: -178.36 	steps: 14458.00
Episode 121	Average Score: -176.78 	steps: 14571.00
Episode 122	Average Score: -175.52 	steps: 14728.00
Episode 123	Average Score: -174.99 	steps: 14925.00
Episode 124	Average Score: -176.08 	steps: 15151.00
Episode 125	Average Score: -175.61 	steps: 15281.00
Episode 126	Average Score: -171.75 	steps: 15471.00
Episode 127	Average Score: -168.48 	steps: 15581.00
Episode 128	Average Score: -168.17 	steps: 15676.00
Episode 129	Average Score: -167.01 	steps: 15851.00
Episode 130	Average Score: -166.33 	steps: 16022.00
Episode 131	Average Score: -166.50 	steps: 16141.00
Episode 132	Average Score: -166.33 	steps: 16269.00
Episode 133	Average Score: -163.93 	steps: 16373.00
Episode 134	Average Score: -164.33 	steps: 16462.00
Episode 135	Average Score: -162.59 	steps: 16730.00
Episode 136	Average Score: -162.51 	steps: 17119.00
Episode 137	Average Score: -162.69 	steps: 17246.00
Episode 138	Average Score: -158.51 	steps: 17380.00
Episode 139	Average Score: -156.25 	steps: 17579.00
Episode 140	Average Score: -154.95 	steps: 17760.00
Episode 141	Average Score: -155.44 	steps: 17919.00
Episode 142	Average Score: -154.17 	steps: 18024.00
Episode 143	Average Score: -156.18 	steps: 18975.00
Episode 144	Average Score: -156.09 	steps: 19088.00
Episode 145	Average Score: -153.84 	steps: 19481.00
Episode 146	Average Score: -155.69 	steps: 20048.00
Episode 147	Average Score: -152.05 	steps: 20152.00
Episode 148	Average Score: -151.23 	steps: 20381.00
Episode 149	Average Score: -152.73 	steps: 20510.00
Episode 150	Average Score: -152.48 	steps: 20591.00
Episode 151	Average Score: -151.94 	steps: 20826.00
Episode 152	Average Score: -149.37 	steps: 21076.00
Episode 153	Average Score: -149.26 	steps: 21358.00
Episode 154	Average Score: -148.83 	steps: 21677.00
Episode 155	Average Score: -150.94 	steps: 22040.00
Episode 156	Average Score: -147.25 	steps: 22196.00
Episode 157	Average Score: -148.64 	steps: 22515.00
Episode 158	Average Score: -146.00 	steps: 23515.00
Episode 159	Average Score: -145.74 	steps: 24515.00
Episode 160	Average Score: -146.72 	steps: 24628.00
Episode 161	Average Score: -143.62 	steps: 24902.00
Episode 162	Average Score: -140.35 	steps: 25137.00
Episode 163	Average Score: -139.51 	steps: 25776.00
Episode 164	Average Score: -138.60 	steps: 26776.00
Episode 165	Average Score: -136.31 	steps: 26883.00
Episode 166	Average Score: -135.07 	steps: 27883.00
Episode 167	Average Score: -133.06 	steps: 28081.00
Episode 168	Average Score: -132.94 	steps: 28301.00
Episode 169	Average Score: -133.39 	steps: 28654.00
Episode 170	Average Score: -132.24 	steps: 29654.00
Episode 171	Average Score: -130.66 	steps: 29842.00
Episode 172	Average Score: -126.25 	steps: 30842.00
Episode 173	Average Score: -128.09 	steps: 31689.00
Episode 174	Average Score: -126.20 	steps: 32047.00
Episode 175	Average Score: -125.34 	steps: 32275.00
Episode 176	Average Score: -122.56 	steps: 32462.00
Episode 177	Average Score: -122.74 	steps: 32839.00
Episode 178	Average Score: -120.76 	steps: 33106.00
Episode 179	Average Score: -121.13 	steps: 33593.00
Episode 180	Average Score: -119.37 	steps: 34593.00
Episode 181	Average Score: -120.07 	steps: 34873.00
Episode 182	Average Score: -121.70 	steps: 35062.00
Episode 183	Average Score: -119.94 	steps: 35370.00
Episode 184	Average Score: -120.45 	steps: 35590.00
Episode 185	Average Score: -119.71 	steps: 35817.00
Episode 186	Average Score: -118.80 	steps: 36457.00
Episode 187	Average Score: -117.33 	steps: 36794.00
Episode 188	Average Score: -117.28 	steps: 36962.00
Episode 189	Average Score: -116.30 	steps: 37116.00
Episode 190	Average Score: -114.98 	steps: 37599.00
Episode 191	Average Score: -114.01 	steps: 38049.00
Episode 192	Average Score: -110.56 	steps: 39049.00
Episode 193	Average Score: -108.45 	steps: 39337.00
Episode 194	Average Score: -105.79 	steps: 39540.00
Episode 195	Average Score: -104.02 	steps: 39734.00
Episode 196	Average Score: -103.44 	steps: 40301.00
Episode 197	Average Score: -101.71 	steps: 40508.00
Episode 198	Average Score: -97.58 	steps: 41508.00
Episode 199	Average Score: -98.36 	steps: 41752.00
Episode 200	Average Score: -96.78 	steps: 42096.00
Episode 200	Average Score: -96.78 	steps: 42096.00

Episode 201	Average Score: -99.09 	steps: 42375.00
Episode 202	Average Score: -98.64 	steps: 42628.00
Episode 203	Average Score: -98.07 	steps: 42751.00
Episode 204	Average Score: -96.88 	steps: 43751.00
Episode 205	Average Score: -97.60 	steps: 44063.00
Episode 206	Average Score: -94.94 	steps: 44356.00
Episode 207	Average Score: -95.08 	steps: 44734.00
Episode 208	Average Score: -96.92 	steps: 44934.00
Episode 209	Average Score: -97.20 	steps: 45393.00
Episode 210	Average Score: -97.05 	steps: 45628.00
Episode 211	Average Score: -96.02 	steps: 46005.00
Episode 212	Average Score: -94.97 	steps: 46246.00
Episode 213	Average Score: -95.32 	steps: 47246.00
Episode 214	Average Score: -94.22 	steps: 47751.00
Episode 215	Average Score: -95.09 	steps: 48412.00
Episode 216	Average Score: -95.72 	steps: 48577.00
Episode 217	Average Score: -95.14 	steps: 49457.00
Episode 218	Average Score: -95.11 	steps: 50457.00
Episode 219	Average Score: -93.61 	steps: 51457.00
Episode 220	Average Score: -94.26 	steps: 52400.00
Episode 221	Average Score: -93.87 	steps: 53400.00
Episode 222	Average Score: -93.46 	steps: 54231.00
Episode 223	Average Score: -94.93 	steps: 54501.00
Episode 224	Average Score: -91.34 	steps: 55501.00
Episode 225	Average Score: -91.99 	steps: 55606.00
Episode 226	Average Score: -91.98 	steps: 55963.00
Episode 227	Average Score: -92.26 	steps: 56787.00
Episode 228	Average Score: -90.54 	steps: 56959.00
Episode 229	Average Score: -90.22 	steps: 57059.00
Episode 230	Average Score: -89.17 	steps: 58059.00
Episode 231	Average Score: -87.84 	steps: 59059.00
Episode 232	Average Score: -87.44 	steps: 59585.00
Episode 233	Average Score: -85.51 	steps: 60585.00
Episode 234	Average Score: -83.24 	steps: 61585.00
Episode 235	Average Score: -81.79 	steps: 62585.00
Episode 236	Average Score: -81.25 	steps: 63585.00
Episode 237	Average Score: -80.35 	steps: 63946.00
Episode 238	Average Score: -80.77 	steps: 64946.00
Episode 239	Average Score: -79.73 	steps: 65946.00
Episode 240	Average Score: -78.51 	steps: 66079.00
Episode 241	Average Score: -76.69 	steps: 67079.00
Episode 242	Average Score: -76.03 	steps: 67579.00
Episode 243	Average Score: -71.09 	steps: 68579.00
Episode 244	Average Score: -68.21 	steps: 69542.00
Episode 245	Average Score: -67.56 	steps: 70542.00
Episode 246	Average Score: -67.96 	steps: 71420.00
Episode 247	Average Score: -68.25 	steps: 72420.00
Episode 248	Average Score: -67.59 	steps: 73420.00
Episode 249	Average Score: -64.47 	steps: 74065.00
Episode 250	Average Score: -64.33 	steps: 75065.00
Episode 251	Average Score: -62.88 	steps: 75231.00
Episode 252	Average Score: -63.15 	steps: 76231.00
Episode 253	Average Score: -62.99 	steps: 77231.00
Episode 254	Average Score: -63.20 	steps: 78231.00
Episode 255	Average Score: -60.24 	steps: 79231.00
Episode 256	Average Score: -60.11 	steps: 80231.00
Episode 257	Average Score: -57.57 	steps: 81231.00
Episode 258	Average Score: -57.04 	steps: 82231.00
Episode 259	Average Score: -57.77 	steps: 83050.00
Episode 260	Average Score: -56.91 	steps: 84050.00
Episode 261	Average Score: -58.23 	steps: 84620.00
Episode 262	Average Score: -58.24 	steps: 85620.00
Episode 263	Average Score: -58.24 	steps: 86517.00
Episode 264	Average Score: -58.06 	steps: 87517.00
Episode 265	Average Score: -56.49 	steps: 88517.00
Episode 266	Average Score: -57.29 	steps: 89517.00
Episode 267	Average Score: -56.52 	steps: 90517.00
Episode 268	Average Score: -55.20 	steps: 91517.00
Episode 269	Average Score: -54.05 	steps: 92517.00
Episode 270	Average Score: -54.99 	steps: 92685.00
Episode 271	Average Score: -53.50 	steps: 93685.00
Episode 272	Average Score: -54.69 	steps: 94685.00
Episode 273	Average Score: -50.52 	steps: 95685.00
Episode 274	Average Score: -48.27 	steps: 96606.00
Episode 275	Average Score: -47.97 	steps: 97606.00
Episode 276	Average Score: -48.34 	steps: 98606.00
Episode 277	Average Score: -45.80 	steps: 99606.00
Episode 278	Average Score: -46.05 	steps: 99887.00
Episode 279	Average Score: -45.24 	steps: 100887.00
Episode 280	Average Score: -45.99 	steps: 101887.00
Episode 281	Average Score: -45.48 	steps: 102887.00
Episode 282	Average Score: -43.82 	steps: 103887.00
Episode 283	Average Score: -43.23 	steps: 104887.00
Episode 284	Average Score: -42.22 	steps: 105887.00
Episode 285	Average Score: -40.88 	steps: 106887.00
Episode 286	Average Score: -38.96 	steps: 107887.00
Episode 287	Average Score: -38.75 	steps: 108887.00
Episode 288	Average Score: -38.62 	steps: 109887.00
Episode 289	Average Score: -38.32 	steps: 110887.00
Episode 290	Average Score: -38.07 	steps: 111887.00
Episode 291	Average Score: -37.10 	steps: 112887.00
Episode 292	Average Score: -38.18 	steps: 113887.00
Episode 293	Average Score: -38.69 	steps: 114887.00
Episode 294	Average Score: -37.99 	steps: 115887.00
Episode 295	Average Score: -37.98 	steps: 116887.00
Episode 296	Average Score: -37.12 	steps: 117887.00
Episode 297	Average Score: -36.53 	steps: 118887.00
Episode 298	Average Score: -37.97 	steps: 119887.00
Episode 299	Average Score: -37.38 	steps: 120887.00
Episode 300	Average Score: -35.90 	steps: 121887.00
Episode 300	Average Score: -35.90 	steps: 121887.00

Episode 301	Average Score: -33.59 	steps: 122887.00
Episode 302	Average Score: -32.54 	steps: 123887.00
Episode 303	Average Score: -32.39 	steps: 124887.00
Episode 304	Average Score: -31.03 	steps: 125887.00
Episode 305	Average Score: -29.09 	steps: 126887.00
Episode 306	Average Score: -29.08 	steps: 127887.00
Episode 307	Average Score: -28.29 	steps: 128887.00
Episode 308	Average Score: -26.20 	steps: 129887.00
Episode 309	Average Score: -26.08 	steps: 130887.00
Episode 310	Average Score: -25.75 	steps: 131887.00
Episode 311	Average Score: -25.72 	steps: 132887.00
Episode 312	Average Score: -25.74 	steps: 133887.00
Episode 313	Average Score: -25.15 	steps: 134887.00
Episode 314	Average Score: -24.26 	steps: 135887.00
Episode 315	Average Score: -22.66 	steps: 136887.00
Episode 316	Average Score: -20.82 	steps: 137887.00
Episode 317	Average Score: -19.98 	steps: 138887.00
Episode 318	Average Score: -18.66 	steps: 139887.00
Episode 319	Average Score: -18.18 	steps: 140887.00
Episode 320	Average Score: -16.66 	steps: 141887.00
Episode 321	Average Score: -15.95 	steps: 142887.00
Episode 322	Average Score: -15.20 	steps: 143887.00
Episode 323	Average Score: -13.24 	steps: 144887.00
Episode 324	Average Score: -13.86 	steps: 145887.00
Episode 325	Average Score: -12.45 	steps: 146887.00
Episode 326	Average Score: -12.23 	steps: 147887.00
Episode 327	Average Score: -11.65 	steps: 148887.00
Episode 328	Average Score: -11.54 	steps: 149887.00
