created virtual environment CPython3.6.10.final.0-64 in 517ms
  creator CPython3Posix(dest=/localscratch/orfanos.26527442.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/orfanos/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pip-21.2.3+computecanada-py3-none-any.whl
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-21.2.3+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx512, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/torch-1.6.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/bayesian_optimization-1.2.0-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-1.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/future-0.18.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/gym-0.18.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/box2d_py-2.3.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/joblib-1.0.1+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pandas-1.0.3+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/Pillow-7.2.0+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyglet-1.5.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scikit_learn-0.24.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/scipy-1.4.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/threadpoolctl-2.1.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/matplotlib-3.3.4+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.19.5+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/kiwisolver-1.3.1+computecanada-cp36-cp36m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-2.4.7+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.10.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Installing collected packages: numpy, threadpoolctl, six, scipy, joblib, future, scikit-learn, pytz, python-dateutil, pyparsing, pyglet, Pillow, kiwisolver, cycler, cloudpickle, torch, pandas, matplotlib, gym, Box2d-py, bayesian-optimization
Successfully installed Box2d-py-2.3.5+computecanada Pillow-7.2.0+computecanada bayesian-optimization-1.2.0 cloudpickle-1.6.0+computecanada cycler-0.10.0+computecanada future-0.18.2+computecanada gym-0.18.0+computecanada joblib-1.0.1+computecanada kiwisolver-1.3.1+computecanada matplotlib-3.3.4+computecanada numpy-1.19.5+computecanada pandas-1.0.3+computecanada pyglet-1.5.0+computecanada pyparsing-2.4.7+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada scikit-learn-0.24.1+computecanada scipy-1.4.1+computecanada six-1.16.0+computecanada threadpoolctl-2.1.0+computecanada torch-1.6.0+computecanada
hello
13
13
State shape:  (8,)
Number of actions:  4

Episode 1	Average Score: -321.82 	steps: 74.00
Episode 2	Average Score: -225.62 	steps: 175.00
Episode 3	Average Score: -178.74 	steps: 232.00
Episode 4	Average Score: -147.16 	steps: 296.00
Episode 5	Average Score: -204.45 	steps: 428.00
Episode 6	Average Score: -232.37 	steps: 510.00
Episode 7	Average Score: -229.82 	steps: 613.00
Episode 8	Average Score: -214.06 	steps: 722.00
Episode 9	Average Score: -223.84 	steps: 823.00
Episode 10	Average Score: -230.39 	steps: 909.00
Episode 11	Average Score: -223.74 	steps: 1036.00
Episode 12	Average Score: -229.24 	steps: 1135.00
Episode 13	Average Score: -217.44 	steps: 1201.00
Episode 14	Average Score: -211.58 	steps: 1302.00
Episode 15	Average Score: -217.26 	steps: 1398.00
Episode 16	Average Score: -210.20 	steps: 1467.00
Episode 17	Average Score: -225.54 	steps: 1567.00
Episode 18	Average Score: -224.59 	steps: 1699.00
Episode 19	Average Score: -236.96 	steps: 1781.00
Episode 20	Average Score: -245.04 	steps: 1866.00
Episode 21	Average Score: -238.36 	steps: 1965.00
Episode 22	Average Score: -233.61 	steps: 2077.00
Episode 23	Average Score: -230.49 	steps: 2203.00
Episode 24	Average Score: -233.76 	steps: 2294.00
Episode 25	Average Score: -227.76 	steps: 2387.00
Episode 26	Average Score: -222.76 	steps: 2455.00
Episode 27	Average Score: -223.51 	steps: 2542.00
Episode 28	Average Score: -219.76 	steps: 2651.00
Episode 29	Average Score: -218.05 	steps: 2769.00
Episode 30	Average Score: -213.42 	steps: 2943.00
Episode 31	Average Score: -217.85 	steps: 3021.00
Episode 32	Average Score: -217.25 	steps: 3137.00
Episode 33	Average Score: -213.16 	steps: 3317.00
Episode 34	Average Score: -207.58 	steps: 3384.00
Episode 35	Average Score: -206.71 	steps: 3463.00
Episode 36	Average Score: -211.01 	steps: 3591.00
Episode 37	Average Score: -213.89 	steps: 3693.00
Episode 38	Average Score: -211.20 	steps: 3803.00
Episode 39	Average Score: -209.51 	steps: 3933.00
Episode 40	Average Score: -206.60 	steps: 4033.00
Episode 41	Average Score: -206.01 	steps: 4157.00
Episode 42	Average Score: -205.05 	steps: 4232.00
Episode 43	Average Score: -206.41 	steps: 4339.00
Episode 44	Average Score: -209.31 	steps: 4460.00
Episode 45	Average Score: -212.09 	steps: 4581.00
Episode 46	Average Score: -214.18 	steps: 4698.00
Episode 47	Average Score: -211.59 	steps: 4778.00
Episode 48	Average Score: -209.75 	steps: 4852.00
Episode 49	Average Score: -211.10 	steps: 4978.00
Episode 50	Average Score: -212.55 	steps: 5108.00
Episode 51	Average Score: -211.06 	steps: 5206.00
Episode 52	Average Score: -212.18 	steps: 5349.00
Episode 53	Average Score: -210.32 	steps: 5462.00
Episode 54	Average Score: -213.14 	steps: 5567.00
Episode 55	Average Score: -211.46 	steps: 5636.00
Episode 56	Average Score: -209.45 	steps: 5763.00
Episode 57	Average Score: -211.91 	steps: 5855.00
Episode 58	Average Score: -209.86 	steps: 5962.00
Episode 59	Average Score: -208.18 	steps: 6044.00
Episode 60	Average Score: -206.77 	steps: 6136.00
Episode 61	Average Score: -206.65 	steps: 6223.00
Episode 62	Average Score: -204.75 	steps: 6311.00
Episode 63	Average Score: -203.42 	steps: 6406.00
Episode 64	Average Score: -205.60 	steps: 6548.00
Episode 65	Average Score: -202.88 	steps: 6664.00
Episode 66	Average Score: -201.17 	steps: 6756.00
Episode 67	Average Score: -199.68 	steps: 6832.00
Episode 68	Average Score: -198.88 	steps: 6982.00
Episode 69	Average Score: -201.33 	steps: 7085.00
Episode 70	Average Score: -200.93 	steps: 7179.00
Episode 71	Average Score: -202.25 	steps: 7309.00
Episode 72	Average Score: -202.21 	steps: 7460.00
Episode 73	Average Score: -203.44 	steps: 8031.00
Episode 74	Average Score: -203.18 	steps: 8122.00
Episode 75	Average Score: -203.79 	steps: 8262.00
Episode 76	Average Score: -203.81 	steps: 8420.00
Episode 77	Average Score: -202.46 	steps: 8549.00
Episode 78	Average Score: -201.39 	steps: 8640.00
Episode 79	Average Score: -201.41 	steps: 8748.00
Episode 80	Average Score: -201.56 	steps: 8865.00
Episode 81	Average Score: -201.76 	steps: 9004.00
Episode 82	Average Score: -200.03 	steps: 9131.00
Episode 83	Average Score: -199.67 	steps: 9230.00
Episode 84	Average Score: -198.07 	steps: 9445.00
Episode 85	Average Score: -197.85 	steps: 9587.00
Episode 86	Average Score: -197.17 	steps: 9762.00
Episode 87	Average Score: -197.20 	steps: 9968.00
Episode 88	Average Score: -197.10 	steps: 10062.00
Episode 89	Average Score: -197.19 	steps: 10209.00
Episode 90	Average Score: -196.69 	steps: 10333.00
Episode 91	Average Score: -197.29 	steps: 10470.00
Episode 92	Average Score: -194.73 	steps: 10577.00
Episode 93	Average Score: -194.07 	steps: 10721.00
Episode 94	Average Score: -194.93 	steps: 10907.00
Episode 95	Average Score: -194.53 	steps: 11039.00
Episode 96	Average Score: -193.58 	steps: 11202.00
Episode 97	Average Score: -192.73 	steps: 11340.00
Episode 98	Average Score: -191.81 	steps: 11499.00
Episode 99	Average Score: -190.60 	steps: 11633.00
Episode 100	Average Score: -188.65 	steps: 11777.00
Episode 100	Average Score: -188.65 	steps: 11777.00

Episode 101	Average Score: -186.18 	steps: 11954.00
Episode 102	Average Score: -186.30 	steps: 12113.00
Episode 103	Average Score: -186.20 	steps: 12217.00
Episode 104	Average Score: -187.62 	steps: 12465.00
Episode 105	Average Score: -184.73 	steps: 12562.00
Episode 106	Average Score: -183.60 	steps: 12714.00
Episode 107	Average Score: -182.98 	steps: 12893.00
Episode 108	Average Score: -183.08 	steps: 13016.00
Episode 109	Average Score: -182.13 	steps: 13302.00
Episode 110	Average Score: -182.03 	steps: 13494.00
Episode 111	Average Score: -182.18 	steps: 13643.00
Episode 112	Average Score: -180.56 	steps: 13825.00
Episode 113	Average Score: -185.20 	steps: 13992.00
Episode 114	Average Score: -184.87 	steps: 14184.00
Episode 115	Average Score: -183.16 	steps: 14280.00
Episode 116	Average Score: -183.74 	steps: 14436.00
Episode 117	Average Score: -180.58 	steps: 14692.00
Episode 118	Average Score: -179.43 	steps: 14899.00
Episode 119	Average Score: -176.01 	steps: 15076.00
Episode 120	Average Score: -174.69 	steps: 15354.00
Episode 121	Average Score: -175.79 	steps: 15548.00
Episode 122	Average Score: -176.45 	steps: 15655.00
Episode 123	Average Score: -176.11 	steps: 15840.00
Episode 124	Average Score: -174.88 	steps: 16002.00
Episode 125	Average Score: -175.08 	steps: 16140.00
Episode 126	Average Score: -175.56 	steps: 16309.00
Episode 127	Average Score: -174.88 	steps: 16626.00
Episode 128	Average Score: -175.33 	steps: 16783.00
Episode 129	Average Score: -176.20 	steps: 17357.00
Episode 130	Average Score: -176.36 	steps: 17484.00
Episode 131	Average Score: -174.07 	steps: 17685.00
Episode 132	Average Score: -173.49 	steps: 17828.00
Episode 133	Average Score: -175.33 	steps: 17933.00
Episode 134	Average Score: -176.07 	steps: 18382.00
Episode 135	Average Score: -177.75 	steps: 18604.00
Episode 136	Average Score: -175.24 	steps: 18742.00
Episode 137	Average Score: -173.85 	steps: 18907.00
Episode 138	Average Score: -173.70 	steps: 19087.00
Episode 139	Average Score: -176.74 	steps: 19239.00
Episode 140	Average Score: -178.92 	steps: 19594.00
Episode 141	Average Score: -180.92 	steps: 19747.00
Episode 142	Average Score: -179.41 	steps: 19825.00
Episode 143	Average Score: -178.32 	steps: 20028.00
Episode 144	Average Score: -174.40 	steps: 21028.00
Episode 145	Average Score: -172.06 	steps: 21178.00
Episode 146	Average Score: -170.75 	steps: 21343.00
Episode 147	Average Score: -170.46 	steps: 21480.00
Episode 148	Average Score: -170.04 	steps: 21563.00
Episode 149	Average Score: -168.21 	steps: 21813.00
Episode 150	Average Score: -165.55 	steps: 22047.00
Episode 151	Average Score: -166.70 	steps: 22192.00
Episode 152	Average Score: -164.92 	steps: 22401.00
Episode 153	Average Score: -164.49 	steps: 22546.00
Episode 154	Average Score: -161.55 	steps: 22759.00
Episode 155	Average Score: -159.47 	steps: 23759.00
Episode 156	Average Score: -160.36 	steps: 23883.00
Episode 157	Average Score: -158.11 	steps: 24171.00
Episode 158	Average Score: -158.63 	steps: 24334.00
Episode 159	Average Score: -158.37 	steps: 24433.00
Episode 160	Average Score: -159.59 	steps: 24640.00
Episode 161	Average Score: -158.23 	steps: 24849.00
Episode 162	Average Score: -158.32 	steps: 24976.00
Episode 163	Average Score: -159.09 	steps: 25132.00
Episode 164	Average Score: -155.89 	steps: 25568.00
Episode 165	Average Score: -156.09 	steps: 25749.00
Episode 166	Average Score: -156.16 	steps: 25998.00
Episode 167	Average Score: -156.06 	steps: 26136.00
Episode 168	Average Score: -156.68 	steps: 26370.00
Episode 169	Average Score: -155.72 	steps: 26534.00
Episode 170	Average Score: -156.77 	steps: 26716.00
Episode 171	Average Score: -155.62 	steps: 27397.00
Episode 172	Average Score: -154.40 	steps: 27626.00
Episode 173	Average Score: -153.31 	steps: 27786.00
Episode 174	Average Score: -152.55 	steps: 28173.00
Episode 175	Average Score: -150.53 	steps: 29069.00
Episode 176	Average Score: -149.41 	steps: 29232.00
Episode 177	Average Score: -150.05 	steps: 29843.00
Episode 178	Average Score: -149.14 	steps: 30093.00
Episode 179	Average Score: -148.02 	steps: 30269.00
Episode 180	Average Score: -147.96 	steps: 30724.00
Episode 181	Average Score: -149.59 	steps: 30918.00
Episode 182	Average Score: -152.27 	steps: 31080.00
Episode 183	Average Score: -153.25 	steps: 31497.00
Episode 184	Average Score: -153.05 	steps: 31643.00
Episode 185	Average Score: -154.20 	steps: 31851.00
Episode 186	Average Score: -152.87 	steps: 32017.00
Episode 187	Average Score: -152.90 	steps: 32171.00
